,distance,sending_weekday,delivery_type,post_office_type,sending_hour_category,vehicle_travel_time,sending_hour,delivery_time_hours
224,455.0,4,Economy registered letter,UP,0,5.737704918032787,12,116.16666666666667
225,51.2,4,Economy registered letter,UP,0,0.9344262295081968,12,71.26666666666667
226,213.0,4,Economy registered letter,UP,0,2.1147540983606556,12,141.1
227,159.0,4,Economy registered letter,UP,0,2.0163934426229506,12,70.75
228,275.0,4,Economy registered letter,UP,0,3.3114754098360657,12,97.1
229,97.8,4,Economy registered letter,UP,0,1.2459016393442623,12,168.18333333333334
230,230.0,4,Economy registered letter,UP,0,2.262295081967213,12,95.26666666666667
231,347.0,4,Economy registered letter,UP,0,3.4098360655737703,12,93.68333333333334
232,536.0,4,Economy registered letter,UP,0,5.114754098360656,12,71.35
233,196.0,4,Economy registered letter,UP,0,2.7868852459016393,12,94.8
234,339.0,4,Economy registered letter,UP,0,3.2950819672131146,12,96.75
235,65.1,4,Economy registered letter,UP,0,1.1475409836065573,12,69.78333333333333
236,504.0,4,Economy registered letter,UP,0,5.016393442622951,12,118.61666666666666
237,431.0,4,Economy registered letter,UP,0,4.704918032786885,12,94.63333333333334
238,338.0,4,Economy registered letter,UP,0,3.262295081967213,12,97.51666666666667
239,62.5,4,Economy registered letter,UP,0,0.9180327868852459,12,73.71666666666667
240,462.0,4,Economy registered letter,UP,0,4.475409836065574,12,117.05
241,261.0,4,Economy registered letter,UP,0,3.0491803278688523,12,167.23333333333332
242,658.0,4,Economy registered letter,UP,0,6.622950819672131,12,72.83333333333333
243,347.0,4,Economy registered letter,UP,0,3.622950819672131,12,93.53333333333333
244,68.0,4,Economy registered letter,UP,0,0.8688524590163934,12,96.3
245,340.0,4,Economy registered letter,UP,0,3.4262295081967213,12,92.25
246,251.0,4,Economy registered letter,UP,0,3.6885245901639343,12,92.4
247,340.0,4,Economy registered letter,UP,0,3.4098360655737703,12,95.78333333333333
248,180.0,4,Economy registered letter,UP,0,2.2459016393442623,12,70.16666666666667
249,334.0,4,Economy registered letter,UP,0,3.1475409836065573,12,70.01666666666667
250,275.0,4,Economy registered letter,UP,0,3.3114754098360657,12,94.63333333333334
251,146.0,4,Economy registered letter,UP,0,2.180327868852459,12,95.6
252,429.0,4,Economy registered letter,UP,0,4.131147540983607,12,68.81666666666666
253,366.0,4,Economy registered letter,UP,0,4.459016393442623,12,91.16666666666667
254,61.8,4,Economy registered letter,UP,0,0.8852459016393442,12,68.26666666666667
255,377.0,4,Economy registered letter,UP,0,3.622950819672131,12,95.25
256,152.0,4,Economy registered letter,UP,0,1.8524590163934427,12,93.61666666666666
257,62.3,4,Economy registered letter,UP,0,0.9180327868852459,12,67.88333333333334
258,74.9,4,Economy registered letter,UP,0,0.9344262295081968,12,91.96666666666667
259,146.0,4,Economy registered letter,UP,0,2.180327868852459,12,95.18333333333334
260,455.0,4,Economy registered letter,UP,0,4.590163934426229,12,92.1
261,177.0,4,Economy registered letter,UP,0,2.639344262295082,12,93.61666666666666
262,281.0,4,Economy registered letter,UP,0,3.377049180327869,12,95.88333333333334
263,120.0,4,Economy registered letter,UP,0,1.639344262295082,12,96.26666666666667
264,447.0,4,Economy registered letter,UP,0,4.327868852459017,12,116.63333333333334
265,343.0,4,Economy registered letter,UP,0,3.3114754098360657,12,71.2
266,261.0,4,Economy registered letter,UP,0,3.0491803278688523,12,97.3
267,39.4,4,Economy registered letter,UP,0,0.5737704918032787,12,93.86666666666666
268,483.0,4,Economy registered letter,UP,0,4.721311475409836,12,117.31666666666666
269,86.7,4,Economy registered letter,UP,0,1.0,12,92.96666666666667
270,74.2,4,Economy registered letter,UP,0,1.0,12,96.9
271,377.0,4,Economy registered letter,UP,0,3.6557377049180326,12,76.83333333333333
272,358.0,4,Economy registered letter,UP,0,3.622950819672131,12,72.95
273,382.0,4,Economy registered letter,UP,0,3.918032786885246,12,94.4
274,287.0,4,Economy registered letter,UP,0,3.7540983606557377,12,71.1
275,435.0,4,Economy registered letter,UP,0,4.442622950819672,12,73.23333333333333
276,249.0,4,Economy registered letter,UP,0,2.918032786885246,12,142.66666666666666
277,62.9,4,Economy registered letter,UP,0,1.0,12,70.55
278,251.0,4,Economy registered letter,UP,0,3.6885245901639343,12,93.83333333333333
279,305.0,4,Economy registered letter,UP,0,3.081967213114754,12,117.51666666666667
280,308.0,4,Economy registered letter,UP,0,3.180327868852459,12,140.6
